,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,74.55,86,41,7.0,EC,1622332964
1,Mogadishu,2.0371,45.3438,78.17,84,82,12.64,SO,1622332964
2,Asău,46.4333,26.4,54.52,99,87,1.9,RO,1622332964
3,Busselton,-33.65,115.3333,53.1,84,95,19.75,AU,1622332965
4,Rojhan,28.6868,69.9534,91.92,44,0,11.16,PK,1622332965
5,Dingle,10.9995,122.6711,83.7,76,88,2.28,PH,1622332965
6,Lüderitz,-26.6481,15.1594,60.08,61,25,12.3,NA,1622332967
7,Bismarck,46.8083,-100.7837,71.87,53,1,4.0,US,1622332712
8,Jamestown,42.097,-79.2353,51.08,85,100,3.0,US,1622332715
9,Rikitea,-23.1203,-134.9692,76.8,86,96,21.65,PF,1622332787
10,Ankara,39.9199,32.8543,56.21,77,40,2.77,TR,1622332859
11,Adrar,20.5022,-10.0711,92.37,13,86,11.14,MR,1622332967
12,Mataura,-46.1927,168.8643,49.48,95,100,4.18,NZ,1622332776
13,Ushuaia,-54.8,-68.3,28.06,93,75,28.77,AR,1622332732
14,Kapaa,22.0752,-159.319,82.11,68,62,1.01,US,1622332958
15,Tianpeng,30.9866,103.9393,74.62,74,100,0.85,CN,1622332968
16,Bethel,41.3712,-73.414,48.49,85,100,1.99,US,1622332816
17,Bolitoc,15.7395,119.8769,84.87,75,94,2.19,PH,1622332969
18,Miraflores,19.2167,-98.8083,77.65,43,97,2.82,MX,1622332969
19,Harper,4.375,-7.7169,80.26,85,95,7.4,LR,1622332969
20,Albany,42.6001,-73.9662,51.73,78,100,2.59,US,1622332915
21,Murray Bridge,-35.1167,139.2667,54.68,55,0,10.0,AU,1622332970
22,Hobart,-42.8794,147.3294,51.01,66,75,8.05,AU,1622332807
23,Lima,-12.0432,-77.0282,62.13,92,69,5.57,PE,1622332922
24,São Miguel do Araguaia,-13.275,-50.1628,76.55,48,38,4.7,BR,1622332681
25,Cape Town,-33.9258,18.4232,55.11,96,20,3.96,ZA,1622332800
26,Santa Cruz de la Sierra,-17.8,-63.1667,74.41,66,91,4.09,BO,1622332971
27,Hilo,19.7297,-155.09,82.27,86,23,5.99,US,1622332971
28,Bluff,-46.6,168.3333,49.8,89,100,22.75,NZ,1622332832
29,Kendal,54.3268,-2.7476,57.72,93,13,2.77,GB,1622332971
30,Airai,-8.9266,125.4092,64.6,69,46,1.66,TL,1622332972
31,Vila,42.0304,-8.1588,54.7,80,85,3.94,PT,1622332972
32,Lavrentiya,65.5833,-171.0,34.75,86,5,7.16,RU,1622332972
33,Tuatapere,-46.1333,167.6833,49.82,93,100,9.78,NZ,1622332973
34,Talara,-4.5772,-81.2719,67.87,89,32,15.05,PE,1622332973
35,Basco,20.4487,121.9702,84.67,76,93,15.61,PH,1622332973
36,Ascension,30.2169,-90.9001,80.01,84,1,3.44,US,1622332974
37,Zhangye,38.9342,100.4517,70.39,30,7,9.71,CN,1622332974
38,Priiskovyy,51.9333,116.6333,49.69,61,100,5.19,RU,1622332974
39,Guerrero Negro,27.9769,-114.0611,64.69,68,66,22.66,MX,1622332975
40,Río Gallegos,-51.6226,-69.2181,35.4,69,100,23.8,AR,1622332975
41,East London,-33.0153,27.9116,59.56,77,64,14.07,ZA,1622332975
42,Arraial do Cabo,-22.9661,-42.0278,73.63,83,82,11.45,BR,1622332796
43,Mombetsu,44.3525,143.3525,44.22,98,100,3.94,JP,1622332976
44,Goderich,43.7501,-81.7165,52.56,68,8,12.93,CA,1622332886
45,Vaini,-21.2,-175.2,77.76,82,77,13.73,TO,1622332976
46,Padang,-0.9492,100.3543,77.68,76,98,4.14,ID,1622332976
47,Vostok,46.4856,135.8833,44.46,91,100,1.92,RU,1622332977
48,Muisne,0.6,-80.0333,76.44,88,70,6.62,EC,1622332977
49,Tuktoyaktuk,69.4541,-133.0374,30.2,80,90,6.91,CA,1622332777
50,Qaanaaq,77.484,-69.3632,30.15,94,65,5.91,GL,1622332977
51,Olafsvik,64.8945,-23.7142,45.23,91,100,35.16,IS,1622332802
52,Port Alfred,-33.5906,26.891,57.61,81,83,10.07,ZA,1622332978
53,Piaçabuçu,-10.4056,-36.4344,75.83,78,61,6.96,BR,1622332978
54,Grindavik,63.8424,-22.4338,46.87,93,90,38.97,IS,1622332979
55,Beeville,28.4008,-97.7483,84.38,79,40,6.91,US,1622332972
56,Klaksvík,62.2266,-6.589,45.52,85,47,10.33,FO,1622332979
57,Ayorou,14.7308,0.9174,89.91,12,3,5.06,NE,1622332979
58,San Cristobal,7.7669,-72.225,67.6,97,83,1.45,VE,1622332980
59,Havelock,34.8791,-76.9013,76.95,88,100,1.01,US,1622332772
60,Half Moon Bay,37.4636,-122.4286,75.81,77,75,12.66,US,1622332980
61,Grenå,56.4158,10.8783,50.85,83,3,9.44,DK,1622332981
62,Chokwé,-24.5333,32.9833,61.9,94,0,1.63,MZ,1622332981
63,Bredasdorp,-34.5322,20.0403,52.29,91,57,2.71,ZA,1622332981
64,Wattegama,6.7989,81.4808,73.8,88,99,3.49,LK,1622332982
65,San Miguel de Tucumán,-26.8241,-65.2226,56.93,52,26,3.09,AR,1622332982
66,Barrow,71.2906,-156.7887,30.22,80,90,9.22,US,1622332983
67,Sept-Îles,50.2001,-66.3821,48.06,63,6,1.01,CA,1622332984
68,Phalaborwa,-23.943,31.1411,59.09,78,1,2.57,ZA,1622332984
69,Takoradze,4.8845,-1.7554,80.44,85,85,7.81,GH,1622332806
70,Tiksi,71.6872,128.8694,33.73,92,77,10.92,RU,1622332985
71,Yatou,37.15,122.3833,63.37,71,14,12.57,CN,1622332985
72,Necochea,-38.5473,-58.7368,45.75,57,52,16.37,AR,1622332985
73,Vysokovsk,56.3167,36.55,48.06,86,66,9.73,RU,1622332986
74,Lakes Entrance,-37.8811,147.981,50.49,60,17,2.57,AU,1622332986
75,Caravelas,-17.7125,-39.2481,75.51,85,63,6.96,BR,1622332987
76,Ponta do Sol,32.6667,-17.1,67.71,76,46,6.06,PT,1622332987
77,Narsaq,60.9167,-46.05,43.02,86,100,4.85,GL,1622332904
78,Codrington,-38.2667,141.9667,47.91,78,6,8.61,AU,1622332988
79,Hualmay,-11.0964,-77.6139,64.35,90,56,6.98,PE,1622332989
80,Kysyl-Syr,63.8986,122.7617,60.6,48,88,7.49,RU,1622332989
81,Saint-Philippe,-21.3585,55.7679,68.22,82,15,5.39,RE,1622332990
82,Naze,28.3667,129.4833,66.9,87,100,5.19,JP,1622332990
83,Maniitsoq,65.4167,-52.9,37.83,79,1,17.92,GL,1622332990
84,Bengkulu,-3.8004,102.2655,75.22,87,97,4.63,ID,1622332830
